Type	ID	Name	Caption	Modified	Version List	Date	Time	Compiled	Locked	Locked By
1	27	Item	Item	No	NAVW17.10.00.37799	28-08-14	12:00:00	Yes	No	
1	30	Item Translation	Item Translation	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	32	Item Ledger Entry	Item Ledger Entry	No	NAVW17.10.00.36281	13-03-14	12:00:00	Yes	No	
1	36	Sales Header	Sales Header	Yes	NAVW17.10.00.37563,NAVDK7.10.00.37563,PM7.10.00.2.14,EFAK7.10.00.3.07	19-03-15	21:30:30	Yes	No	
1	37	Sales Line	Sales Line	Yes	NAVW17.10.00.37799,NAVDK7.10.00.37799,EFAK7.10.00.3.07	24-02-15	12:47:21	Yes	No	
1	38	Purchase Header	Purchase Header	Yes	NAVW17.10.00.37563,NAVDK7.10.00.37563,DCDK7.10.00.37563.3.50,PM7.10.00.2.14,EFAK7.10.00.3.07	22-09-15	14:33:22	Yes	No	
1	39	Purchase Line	Purchase Line	Yes	NAVW17.10.00.37799,EFAK7.10.00.3.07	24-10-15	11:00:31	Yes	No	
1	42	Rounding Method	Rounding Method	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	43	Purch. Comment Line	Purch. Comment Line	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	44	Sales Comment Line	Sales Comment Line	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	45	G/L Register	G/L Register	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	46	Item Register	Item Register	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	47	Aging Band Buffer	Aging Band Buffer	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	48	Invt. Posting Buffer	Invt. Posting Buffer	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	49	Invoice Post. Buffer	Invoice Post. Buffer	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	50	Accounting Period	Accounting Period	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	51	User Time Register	User Time Register	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	77	Report Selections	Report Selections	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	78	Printer Selection	Printer Selection	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	79	Company Information	Company Information	Yes	NAVW17.10,NAVDK7.10,PM7.10.00.2.14,EMB1.02.01	04-01-15	11:57:10	Yes	No	
1	80	Gen. Journal Template	Gen. Journal Template	No	NAVW17.10,PM7.10.00.2.14	17-10-13	15:02:23	Yes	No	
1	81	Gen. Journal Line	Gen. Journal Line	No	NAVW17.10.00.38053,NAVDK7.10.00.38053,PM7.10.00.2.14,EFAK7.10.00.3.07	25-09-14	12:00:00	Yes	No	
1	82	Item Journal Template	Item Journal Template	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	83	Item Journal Line	Item Journal Line	No	NAVW17.10.00.37799	28-08-14	12:00:00	Yes	No	
1	84	Acc. Schedule Name	Acc. Schedule Name	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	85	Acc. Schedule Line	Acc. Schedule Line	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	86	Exch. Rate Adjmt. Reg.	Exch. Rate Adjmt. Reg.	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	87	Date Compr. Register	Date Compr. Register	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	90	BOM Component	BOM Component	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	91	User Setup	User Setup	Yes	NAVW17.00,PM7.00.00.2.13	22-09-15	16:04:19	Yes	No	
1	92	Customer Posting Group	Customer Posting Group	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	93	Vendor Posting Group	Vendor Posting Group	No	NAVW17.10,DCW17.10.00.3.50.07	03-03-14	01:00:00	Yes	No	
1	94	Inventory Posting Group	Inventory Posting Group	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	95	G/L Budget Name	G/L Budget Name	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	96	G/L Budget Entry	G/L Budget Entry	No	NAVW17.10.00.38053	25-09-14	12:00:00	Yes	No	
1	97	Comment Line	Comment Line	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	98	General Ledger Setup	General Ledger Setup	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	99	Item Vendor	Item Vendor	No	NAVW17.10.00.37563	02-08-14	12:00:00	Yes	No	
1	110	Sales Shipment Header	Sales Shipment Header	No	NAVW17.10.00.36035	21-01-14	12:00:00	Yes	No	
1	111	Sales Shipment Line	Sales Shipment Line	No	NAVW17.10.00.37799	28-08-14	12:00:00	Yes	No	
1	112	Sales Invoice Header	Sales Invoice Header	Yes	NAVW17.10.00.35800,NAVDK7.10.00.35800,EFAK7.10.00.3.04	11-02-15	09:38:16	Yes	No	
1	113	Sales Invoice Line	Sales Invoice Line	Yes	NAVW17.10,NAVDK7.10,EFAK7.10.00.3.04	07-02-15	13:22:33	Yes	No	
1	114	Sales Cr.Memo Header	Sales Cr.Memo Header	Yes	NAVW17.10,NAVDK7.10,EFAK7.10.00.3.04	14-09-15	21:11:46	Yes	No	
1	115	Sales Cr.Memo Line	Sales Cr.Memo Line	No	NAVW17.10,NAVDK7.10,EFAK7.10.00.3.04	14-11-13	10:28:51	Yes	No	
1	120	Purch. Rcpt. Header	Purch. Rcpt. Header	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	121	Purch. Rcpt. Line	Purch. Rcpt. Line	No	NAVW17.10.00.37799	28-08-14	12:00:00	Yes	No	
1	122	Purch. Inv. Header	Purch. Inv. Header	Yes	NAVW17.10,NAVDK7.10,DCDK7.10.00.3.50,EFAK7.10.00.3.04	29-03-15	13:19:21	Yes	No	
1	123	Purch. Inv. Line	Purch. Inv. Line	Yes	NAVW17.10	07-02-15	11:30:35	Yes	No	
1	124	Purch. Cr. Memo Hdr.	Purch. Cr. Memo Hdr.	Yes	NAVW17.10,DCW17.10.00.3.50,EFAK7.10.00.3.05	14-09-15	21:11:09	Yes	No	
1	125	Purch. Cr. Memo Line	Purch. Cr. Memo Line	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	130	Incoming Document	Incoming Document	No	NAVW17.10.00.36703	10-05-14	12:00:00	Yes	No	
1	131	Incoming Documents Setup	Incoming Documents Setup	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	132	Incoming Document Approver	Incoming Document Approver	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	135	Acc. Sched. KPI Web Srv. Setup	Acc. Sched. KPI Web Srv. Setup	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	136	Acc. Sched. KPI Web Srv. Line	Acc. Sched. KPI Web Srv. Line	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	140	License Agreement	License Agreement	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	152	Resource Group	Resource Group	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	156	Resource	Resource	Yes	NAVW17.10	11-12-14	14:25:37	Yes	No	
1	160	Res. Capacity Entry	Res. Capacity Entry	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	167	Job	Job	Yes	NAVW17.10.00.36035,NL1.01	24-10-15	11:24:17	Yes	No	
1	169	Job Ledger Entry	Job Ledger Entry	Yes	NAVW17.10	25-09-15	11:04:25	Yes	No	
1	170	Standard Sales Code	Standard Sales Code	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	171	Standard Sales Line	Standard Sales Line	No	NAVW17.10.00.35701	10-11-13	12:00:00	Yes	No	
1	172	Standard Customer Sales Code	Standard Customer Sales Code	No	NAVW17.10.00.37563	02-08-14	12:00:00	Yes	No	
1	173	Standard Purchase Code	Standard Purchase Code	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	174	Standard Purchase Line	Standard Purchase Line	No	NAVW17.10.00.35701	10-11-13	12:00:00	Yes	No	
1	175	Standard Vendor Purchase Code	Standard Vendor Purchase Code	No	NAVW17.10.00.37563	02-08-14	12:00:00	Yes	No	
1	179	Reversal Entry	Reversal Entry	No	NAVW17.10.00.38053	25-09-14	12:00:00	Yes	No	
1	180	G/L Account Where-Used	G/L Account Where-Used	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	200	Work Type	Work Type	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	201	Resource Price	Resource Price	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	202	Resource Cost	Resource Cost	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	203	Res. Ledger Entry	Res. Ledger Entry	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	204	Unit of Measure	Unit of Measure	No	NAVW17.10.00.36281,NAVDK7.10.00.36281	13-03-14	12:00:00	Yes	No	
1	205	Resource Unit of Measure	Resource Unit of Measure	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	206	Res. Journal Template	Res. Journal Template	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	207	Res. Journal Line	Res. Journal Line	Yes	NAVW17.10	27-01-15	12:16:25	Yes	No	
1	208	Job Posting Group	Job Posting Group	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	209	Job Journal Template	Job Journal Template	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	210	Job Journal Line	Job Journal Line	Yes	NAVW17.10.00.37799	03-08-15	12:12:44	Yes	No	
1	212	Job Posting Buffer	Job Posting Buffer	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	220	Business Unit	Business Unit	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	221	Gen. Jnl. Allocation	Gen. Jnl. Allocation	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	222	Ship-to Address	Ship-to Address	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	223	Drop Shpt. Post. Buffer	Drop Shpt. Post. Buffer	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	224	Order Address	Order Address	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	225	Post Code	Post Code	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	230	Source Code	Source Code	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	231	Reason Code	Reason Code	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	232	Gen. Journal Batch	Gen. Journal Batch	No	NAVW17.10.00.35800,PM7.10.00.2.14	09-01-14	16:04:58	Yes	No	
1	233	Item Journal Batch	Item Journal Batch	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	236	Res. Journal Batch	Res. Journal Batch	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	237	Job Journal Batch	Job Journal Batch	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	240	Resource Register	Resource Register	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	241	Job Register	Job Register	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	242	Source Code Setup	Source Code Setup	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	244	Req. Wksh. Template	Req. Wksh. Template	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	245	Requisition Wksh. Name	Requisition Wksh. Name	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	246	Requisition Line	Requisition Line	No	NAVW17.10.00.36897	29-05-14	12:00:00	Yes	No	
1	250	Gen. Business Posting Group	Gen. Business Posting Group	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	251	Gen. Product Posting Group	Gen. Product Posting Group	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	252	General Posting Setup	General Posting Setup	No	NAVW17.10,DCW17.10.00.3.02	27-10-13	01:00:00	Yes	No	
1	253	G/L Entry - VAT Entry Link	G/L Entry - VAT Entry Link	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	254	VAT Entry	VAT Entry	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	255	VAT Statement Template	VAT Statement Template	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	256	VAT Statement Line	VAT Statement Line	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	257	VAT Statement Name	VAT Statement Name	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	258	Transaction Type	Transaction Type	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	259	Transport Method	Transport Method	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	260	Tariff Number	Tariff Number	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	261	Intrastat Jnl. Template	Intrastat Jnl. Template	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	262	Intrastat Jnl. Batch	Intrastat Jnl. Batch	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	263	Intrastat Jnl. Line	Intrastat Jnl. Line	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	264	Currency Amount	Currency Amount	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	265	Document Entry	Document Entry	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	266	Customer Amount	Customer Amount	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	267	Vendor Amount	Vendor Amount	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	268	Item Amount	Item Amount	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	269	G/L Account Net Change	G/L Account Net Change	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	270	Bank Account	Bank Account	No	NAVW17.10.00.36078,NAVDK7.10.00.36078,PM7.10.00.2.14	18-03-14	15:20:05	Yes	No	
1	271	Bank Account Ledger Entry	Bank Account Ledger Entry	Yes	NAVW17.10,PM7.10.00.2.14	07-02-15	14:01:15	Yes	No	
1	272	Check Ledger Entry	Check Ledger Entry	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	273	Bank Acc. Reconciliation	Bank Acc. Reconciliation	No	NAVW17.10.00.35800	02-12-13	12:00:00	Yes	No	
1	274	Bank Acc. Reconciliation Line	Bank Acc. Reconciliation Line	No	NAVW17.10.00.35800,PM7.10.00.2.14	10-01-14	10:14:14	Yes	No	
1	275	Bank Account Statement	Bank Account Statement	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	276	Bank Account Statement Line	Bank Account Statement Line	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	277	Bank Account Posting Group	Bank Account Posting Group	No	NAVW17.10,PM7.10.00.2.14	22-10-13	10:40:25	Yes	No	
1	278	Job Journal Quantity	Job Journal Quantity	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	279	Extended Text Header	Extended Text Header	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	280	Extended Text Line	Extended Text Line	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	281	Phys. Inventory Ledger Entry	Phys. Inventory Ledger Entry	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	282	Entry/Exit Point	Entry/Exit Point	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	283	Line Number Buffer	Line Number Buffer	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	284	Area	Area	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	285	Transaction Specification	Transaction Specification	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	286	Territory	Territory	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	287	Customer Bank Account	Customer Bank Account	No	NAVW17.10,NAVDK7.10,PM7.10.00.2.14	22-10-13	10:42:49	Yes	No	
1	288	Vendor Bank Account	Vendor Bank Account	No	NAVW17.10,NAVDK7.10,PM7.10.00.2.14	11-11-13	14:14:25	Yes	No	
1	289	Payment Method	Payment Method	No	NAVW17.10.00.35800,NAVDK7.10.00.35800	02-12-13	12:00:00	Yes	No	
1	290	VAT Amount Line	VAT Amount Line	No	NAVW17.10.00.36703	10-05-14	12:00:00	Yes	No	
1	291	Shipping Agent	Shipping Agent	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	292	Reminder Terms	Reminder Terms	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	293	Reminder Level	Reminder Level	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	294	Reminder Text	Reminder Text	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	295	Reminder Header	Reminder Header	No	NAVW17.10.00.35800,NAVDK7.10.00.35800	02-12-13	12:00:00	Yes	No	
1	296	Reminder Line	Reminder Line	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	297	Issued Reminder Header	Issued Reminder Header	No	NAVW17.10.00.36366,NAVDK7.10.00.36366	01-04-14	12:00:00	Yes	No	
1	298	Issued Reminder Line	Issued Reminder Line	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	299	Reminder Comment Line	Reminder Comment Line	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	300	Reminder/Fin. Charge Entry	Reminder/Fin. Charge Entry	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	301	Finance Charge Text	Finance Charge Text	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	302	Finance Charge Memo Header	Finance Charge Memo Header	No	NAVW17.10.00.35800,NAVDK7.10.00.35800,EFAK7.10.00.3.04	17-12-13	13:34:58	Yes	No	
1	303	Finance Charge Memo Line	Finance Charge Memo Line	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	304	Issued Fin. Charge Memo Header	Issued Fin. Charge Memo Header	No	NAVW17.10.00.35800,NAVDK7.10.00.35800,EFAK7.10.00.3.01	30-01-14	11:16:19	Yes	No	
1	305	Issued Fin. Charge Memo Line	Issued Fin. Charge Memo Line	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	306	Fin. Charge Comment Line	Fin. Charge Comment Line	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	307	Inventory Buffer	Inventory Buffer	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	308	No. Series	No. Series	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	309	No. Series Line	No. Series Line	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	310	No. Series Relationship	No. Series Relationship	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	311	Sales & Receivables Setup	Sales & Receivables Setup	Yes	NAVW17.10.00.35800,NAVDK7.10.00.35800	04-01-15	21:10:08	Yes	No	
1	312	Purchases & Payables Setup	Purchases & Payables Setup	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	313	Inventory Setup	Inventory Setup	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	314	Resources Setup	Resources Setup	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	315	Jobs Setup	Jobs Setup	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	317	Payable Vendor Ledger Entry	Payable Vendor Ledger Entry	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	318	Tax Area	Tax Area	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	319	Tax Area Line	Tax Area Line	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	320	Tax Jurisdiction	Tax Jurisdiction	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	321	Tax Group	Tax Group	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	322	Tax Detail	Tax Detail	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	323	VAT Business Posting Group	VAT Business Posting Group	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	324	VAT Product Posting Group	VAT Product Posting Group	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	325	VAT Posting Setup	VAT Posting Setup	No	NAVW17.10.00.36035	21-01-14	12:00:00	Yes	No	
1	328	Currency for Fin. Charge Terms	Currency for Fin. Charge Terms	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	329	Currency for Reminder Level	Currency for Reminder Level	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	330	Currency Exchange Rate	Currency Exchange Rate	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	331	Adjust Exchange Rate Buffer	Adjust Exchange Rate Buffer	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	332	Currency Total Buffer	Currency Total Buffer	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	333	Column Layout Name	Column Layout Name	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	334	Column Layout	Column Layout	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	335	Resource Price Change	Resource Price Change	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	336	Tracking Specification	Tracking Specification	No	NAVW17.10.00.36366	01-04-14	12:00:00	Yes	No	
1	337	Reservation Entry	Reservation Entry	No	NAVW17.10.00.36897	29-05-14	12:00:00	Yes	No	
1	338	Entry Summary	Entry Summary	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	339	Item Application Entry	Item Application Entry	No	NAVW17.10.00.37799	28-08-14	12:00:00	Yes	No	
1	340	Customer Discount Group	Customer Discount Group	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	341	Item Discount Group	Item Discount Group	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	342	Acc. Sched. Cell Value	Acc. Sched. Cell Value	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	343	Item Application Entry History	Item Application Entry History	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	347	Close Income Statement Buffer	Close Income Statement Buffer	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	348	Dimension	Dimension	Yes	NAVW17.00,NL1.00	13-08-15	16:40:38	Yes	No	
1	349	Dimension Value	Dimension Value	Yes	NAVW17.00,NL1.00	13-08-15	16:42:21	Yes	No	
1	350	Dimension Combination	Dimension Combination	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	351	Dimension Value Combination	Dimension Value Combination	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	352	Default Dimension	Default Dimension	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	353	Dimension ID Buffer	Dimension ID Buffer	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	354	Default Dimension Priority	Default Dimension Priority	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	360	Dimension Buffer	Dimension Buffer	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	363	Analysis View	Analysis View	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	364	Analysis View Filter	Analysis View Filter	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	365	Analysis View Entry	Analysis View Entry	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	366	Analysis View Budget Entry	Analysis View Budget Entry	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	367	Dimension Code Buffer	Dimension Code Buffer	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	368	Dimension Selection Buffer	Dimension Selection Buffer	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	369	Selected Dimension	Selected Dimension	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	370	Excel Buffer	Excel Buffer	No	NAVW17.10.00.37221	28-06-14	12:00:00	Yes	No	
1	371	Budget Buffer	Budget Buffer	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	372	Payment Buffer	Payment Buffer	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	373	Dimension Entry Buffer	Dimension Entry Buffer	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	374	G/L Acc. Budget Buffer	G/L Acc. Budget Buffer	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	375	Dimension Code Amount Buffer	Dimension Code Amount Buffer	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	376	G/L Account (Analysis View)	G/L Account (Analysis View)	No	NAVW17.10.00.37563	02-08-14	12:00:00	Yes	No	
1	377	Object Translation	Object Translation	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	378	Report List Translation	Report List Translation	No	NAVW16.00.01	14-08-09	12:00:00	Yes	No	
1	379	Detailed Cust. Ledg. Entry	Detailed Cust. Ledg. Entry	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	380	Detailed Vendor Ledg. Entry	Detailed Vendor Ledg. Entry	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	381	VAT Registration No. Format	VAT Registration No. Format	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	382	CV Ledger Entry Buffer	CV Ledger Entry Buffer	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	383	Detailed CV Ledg. Entry Buffer	Detailed CV Ledg. Entry Buffer	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	384	Reconcile CV Acc Buffer	Reconcile CV Acc Buffer	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	386	Entry No. Amount Buffer	Entry No. Amount Buffer	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	388	Dimension Translation	Dimension Translation	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	390	Availability at Date	Availability at Date	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	394	XBRL Taxonomy	XBRL Taxonomy	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	395	XBRL Taxonomy Line	XBRL Taxonomy Line	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	396	XBRL Comment Line	XBRL Comment Line	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	397	XBRL G/L Map Line	XBRL G/L Map Line	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
